time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-05-19T01:51:28.550Z,-54.8884,-126.9511,10,5.8,mww,,51,31.762,0.92,us,us6000hm6e,2022-05-20T15:57:28.040Z,"southern East Pacific Rise",earthquake,9.7,1.8,0.078,16,reviewed,us,us
2022-05-19T01:50:24.662Z,-55.102,-126.9161,10,5.2,mb,,117,31.6,0.59,us,us6000hm6c,2022-05-19T22:13:46.040Z,"southern East Pacific Rise",earthquake,15.2,1.9,0.051,129,reviewed,us,us
2022-05-19T00:40:03.039Z,54.8114,-163.5224,24.64,3.2,ml,,154,0.075,0.66,us,us6000hm62,2022-05-19T16:51:49.960Z,"8 km WSW of False Pass, Alaska",earthquake,5.1,10.5,0.085,18,reviewed,us,us
2022-05-19T00:35:06.001Z,57.9239,-153.984,29.7,2.9,ml,,,,0.65,ak,ak0226dvwr7d,2022-05-19T00:48:35.040Z,"42 km N of Larsen Bay, Alaska",earthquake,,0.3,,,automatic,ak,ak
2022-05-19T00:14:53.639Z,33.1366,141.4042,10,4.3,mb,,148,1.334,0.8,us,us6000hm5w,2022-05-19T00:31:08.040Z,"244 km SSE of Katsuura, Japan",earthquake,8.4,1.9,0.094,32,reviewed,us,us
2022-05-18T23:52:46.047Z,23.4936,123.7443,19.19,5,mww,,90,1.178,0.67,us,us6000hm5u,2022-05-19T00:21:12.040Z,"103 km SSW of Ishigaki, Japan",earthquake,5.9,3.8,0.071,19,reviewed,us,us
2022-05-18T21:38:41.153Z,63.5367,-149.6545,0,2.5,ml,,,,1.1,ak,ak0226ckw86m,2022-05-18T22:27:29.040Z,"38 km WNW of Cantwell, Alaska",earthquake,,0.4,,,automatic,ak,ak
2022-05-18T20:53:12.363Z,31.55207133,-104.1424702,7.725463867,2.5,ml,11,69,0.07741700768,0.2,tx,tx2022jrxg,2022-05-20T00:50:38.788Z,"42 km NW of Toyah, Texas",earthquake,1.1537566379999997,1.589548929,0.2,12,reviewed,tx,tx
2022-05-18T20:23:49.318Z,-58.7784,-25.3638,29.75,5.5,mb,,73,7.619,0.69,us,us6000hm4d,2022-05-19T20:27:47.103Z,"South Sandwich Islands region",earthquake,9.6,4.2,0.05,137,reviewed,us,us
2022-05-18T19:46:05.568Z,60.8878,-151.6572,76.3,2.8,ml,,,,0.57,ak,ak0226cjr00d,2022-05-18T19:49:14.102Z,"29 km NW of Nikiski, Alaska",earthquake,,0.5,,,automatic,ak,ak
2022-05-18T18:31:35.181Z,51.1427,178.7751,9,3.5,ml,,,,0.55,ak,ak0226cj2f2x,2022-05-18T19:44:16.510Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2022-05-18T15:47:52.730Z,36.4608333,-116.9495,8.16,2.62,ml,23,88,0.06984,0.19,ci,ci40021831,2022-05-19T02:04:37.040Z,"9km W of Furnace Creek, CA",earthquake,0.27,0.8,0.101,54,reviewed,ci,ci
2022-05-18T11:27:07.551Z,-17.9676,-69.8301,138.56,4.7,mb,,80,0.477,0.82,us,us6000hlz1,2022-05-18T11:58:31.900Z,"25 km SSE of Palca, Peru",earthquake,5.2,4.9,0.084,47,reviewed,us,us
2022-05-18T10:52:01.141Z,-6.0616,150.8764,36.93,4.7,mb,,130,2.257,0.49,us,us6000hlyx,2022-05-18T11:21:38.040Z,"99 km SE of Kimbe, Papua New Guinea",earthquake,13.3,7.5,0.085,46,reviewed,us,us
2022-05-18T10:14:54.080Z,19.1696666666667,-155.470333333333,32.2,3.06,ml,44,81,,0.11,hv,hv73016007,2022-05-18T19:09:44.692Z,"3 km SSE of Pāhala, Hawaii",earthquake,0.54,0.64,0.202963388596173,41,reviewed,hv,hv
2022-05-18T09:36:41.430Z,18.3626,-68.7385,78,3.51,md,17,129,0.3878,0.11,pr,pr2022138000,2022-05-18T10:42:29.425Z,"10 km SW of San Rafael del Yuma, Dominican Republic",earthquake,0.96,0.91,0.31,6,reviewed,pr,pr
2022-05-18T07:46:57.869Z,36.9558,71.1695,99.63,4.7,mb,,74,2.412,1.27,us,us6000hly9,2022-05-18T08:15:01.040Z,"31 km ENE of Jurm, Afghanistan",earthquake,7.6,7,0.052,111,reviewed,us,us
2022-05-18T06:27:55.176Z,51.1188,178.7361,17.58,5.8,mww,,95,0.44,1.1,us,us6000hlxv,2022-05-20T06:38:00.236Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,4.3,3.1,0.06,27,reviewed,us,us
2022-05-18T06:19:38.840Z,18.0651666666667,-67.3413333333333,7.03,2.61,md,17,232,,0.27,pr,pr71349238,2022-05-18T06:48:42.260Z,"16 km W of Puerto Real, Puerto Rico",earthquake,0.78,0.63,0.124619507934568,13,reviewed,pr,pr
2022-05-18T04:29:26.635Z,11.8861,143.3157,10,5,mb,,144,2.271,0.64,us,us6000hlxk,2022-05-19T04:39:32.604Z,"211 km SW of Merizo Village, Guam",earthquake,10.8,1.8,0.04,202,reviewed,us,us
2022-05-18T03:52:25.128Z,33.3154,141.4229,13,5.6,mww,,64,1.363,0.55,us,us6000hlxg,2022-05-19T19:50:56.040Z,"227 km SSE of Katsuura, Japan",earthquake,7.3,1.8,0.062,25,reviewed,us,us
